"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SN74AVC16827DGVR","Texas Instruments","296-9801-1-ND","IC Address Buffer","","Cut Tape (CT)","Active","1","4.36000","$4.36","1107","6 Weeks","IC BUF NON-INVERT 3.6V 56TVSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LVCR162245DGGR","Texas Instruments","296-8619-1-ND","IC Data Buffer","","Cut Tape (CT)","Active","1","1.52000","$1.52","1734","6 Weeks","IC TXRX NON-INVERT 3.6V 48TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"STM32H743ZIT6","STMicroelectronics","497-17721-ND","uProcesador","","Tray","Active","1","15.97000","$15.97","0","26 Weeks","IC MCU 32BIT 2MB FLASH 144LQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MEM2075-00-140-01-A","GCT","2073-MEM2075-00-140-01-ACT-ND","PortaMicroSD","","Cut Tape (CT)","Active","1","1.86000","$1.86","0","8 Weeks","MICRO SD PUSH-PUSH, SMT, 1.40MM","ROHS3 Compliant","Lead free","Not Available"
"S25FL127SABMFI101","Cypress Semiconductor Corp","1274-1045-ND","u QSPI","","Tube","Active","1","2.86000","$2.86","27385","20 Weeks","IC FLASH 128MBIT SPI/QUAD 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"AP63203WU-7","Diodes Incorporated","AP63203WU-7DICT-ND","Regulador 3,3 V","","Cut Tape (CT)","Active","1","0.87000","$0.87","0","33 Weeks","IC REG BUCK 3.3V 2A TSOT26","ROHS3 Compliant","Lead free","REACH Unaffected"
"CY7C1051DV33-10ZSXI","Cypress Semiconductor Corp","428-3241-ND","SRAM 512Kb x 16","","Tray","Active","1","15.01000","$15.01","698","20 Weeks","IC SRAM 8MBIT PARALLEL 44TSOP II","ROHS3 Compliant","Lead free","REACH Unaffected"
"ISL83485IBZ-T","Renesas Electronics America Inc","ISL83485IBZ-TCT-ND","Driver RS485 10Mb","","Cut Tape (CT)","Active","5","1.56000","$7.80","0","20 Weeks","IC TRANSCEIVER HALF 1/1 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"AP63205WU-7","Diodes Incorporated","AP63205WU-7DICT-ND","Regulador 5 V","","Cut Tape (CT)","Active","1","0.87000","$0.87","0","33 Weeks","IC REG BUCK 5V 2A TSOT26","ROHS3 Compliant","Lead free","REACH Unaffected"
"SG7050CAN 24.000000M-TJGA3","EPSON","SER4399CT-ND","Cristal MVB 24 Mhz","","Cut Tape (CT)","Not For New Designs","1","1.40000","$1.40","706","18 Weeks","XTAL OSC XO 24.0000MHZ CMOS SMD","ROHS3 Compliant","Lead free","Not Available"
"885012207098","Würth Elektronik","732-8080-1-ND","Capacitores .1uF","","Cut Tape (CT)","Active","31","0.07400","$2.29","74633","34 Weeks","CAP CER 0.1UF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21C180JBANNNC","Samsung Electro-Mechanics","1276-1107-1-ND","Capacitor 18 pF","","Cut Tape (CT)","Obsolete","2","0.00000","$0.00","0","22 Weeks","CAP CER 18PF 50V C0G/NP0 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"885012007010","Würth Elektronik","732-7814-1-ND","Capacitor 10 pF","","Cut Tape (CT)","Active","2","0.10000","$0.20","7055","25 Weeks","CAP CER 10PF 16V C0G/NP0 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"885012007012","Würth Elektronik","732-7816-1-ND","Capacitor 22 pF","","Cut Tape (CT)","Active","2","0.10000","$0.20","3184","27 Weeks","CAP CER 22PF 16V C0G/NP0 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"LMK212B7475MG-T","Taiyo Yuden","587-4917-1-ND","Capacitor 4,7 uF","","Cut Tape (CT)","Active","4","0.24000","$0.96","25658","27 Weeks","CAP CER 4.7UF 10V X7R 0805","ROHS3 Compliant","Lead free","Not Available"
"CL21B225KPFNNNE","Samsung Electro-Mechanics","1276-1188-1-ND","Capacitor 2,2 uF","","Cut Tape (CT)","Active","10","0.08400","$0.84","316097","28 Weeks","CAP CER 2.2UF 10V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21A106MQFNNNE","Samsung Electro-Mechanics","1276-1298-1-ND","Capacitor 10 uF","","Cut Tape (CT)","Active","2","0.11000","$0.22","95834","28 Weeks","CAP CER 10UF 6.3V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"B120-E3/61T","Vishay General Semiconductor - Diodes Division","B120-E3/61TGICT-ND","Diodos Protección VCC","","Cut Tape (CT)","Active","3","0.41000","$1.23","7663","42 Weeks","DIODE SCHOTTKY 20V 1A DO214AC","ROHS3 Compliant","Lead free","REACH Unaffected"
"282837-6","TE Connectivity AMP Connectors","A113322-ND","Terminal 1x6 TH","","Tray","Active","1","3.25000","$3.25","2668","29 Weeks","TERM BLK 6P SIDE ENT 5.08MM PCB","RoHS Compliant","Lead free","Not Available"
"282837-3","TE Connectivity AMP Connectors","A113321-ND","Terminal 1x3 TH","","Tray","Active","1","1.21000","$1.21","0","30 Weeks","TERM BLK 3P SIDE ENT 5.08MM PCB","RoHS Compliant","Lead free","Not Available"
"282837-2","TE Connectivity AMP Connectors","A113320-ND","Terminal 1x2 TH","","Tray","Active","1","1.06000","$1.06","23717","30 Weeks","TERM BLK 2P SIDE ENT 5.08MM PCB","RoHS Compliant","Lead free","Not Available"
"1255AY-3R9N=P3","Murata Electronics","490-14062-1-ND","Inductor 68 mH","","Cut Tape (CT)","Active","2","0.42000","$0.84","601","21 Weeks","FIXED IND 3.9UH 4.2A 22 MOHM","ROHS3 Compliant","Lead free","Not Available"
"150080RS75000","Würth Elektronik","732-4984-1-ND","Led Power","","Cut Tape (CT)","Active","3","0.18000","$0.54","44428","10 Weeks","LED RED CLEAR 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"150080YS75000","Würth Elektronik","732-4987-1-ND","Led User Amarillo","","Cut Tape (CT)","Active","2","0.18000","$0.36","16656","10 Weeks","LED YELLOW CLEAR 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"150080VS75000","Würth Elektronik","732-4986-1-ND","Led TM","","Cut Tape (CT)","Active","2","0.18000","$0.36","38096","10 Weeks","LED GREEN CLEAR 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"150080YS75000","Würth Elektronik","732-4987-1-ND","Led Ethernet/SD","","Cut Tape (CT)","Active","2","0.18000","$0.36","16656","10 Weeks","LED YELLOW CLEAR 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"150080VS75000","Würth Elektronik","732-4986-1-ND","Led UART/USART","","Cut Tape (CT)","Active","3","0.18000","$0.36","38096","10 Weeks","LED GREEN CLEAR 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"445C33D25M00000","CTS-Frequency Controls","CTX1434CT-ND","Cristal 25 MHz","","Cut Tape (CT)","Active","1","0.57000","$0.57","80","18 Weeks","CRYSTAL 25.0000MHZ 18PF SMD","RoHS Compliant","Lead free","REACH Unaffected"
"73725-0110BLF","Amphenol ICC (FCI)","609-1041-ND","USB Vertical","","Tube","Active","1","0.97000","$0.97","104477","8 Weeks","CONN RCPT USB2.0 TYPEA 4POS R/A","RoHS Compliant","Lead free","REACH Unaffected"
"CRGCQ0805F10K","TE Connectivity Passive Product","A129761CT-ND","R 10K","","Cut Tape (CT)","Active","1","0.10000","$0.10","46533","19 Weeks","CRGCQ 0805 10K 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F470R","TE Connectivity Passive Product","A129745CT-ND","R 470","","Cut Tape (CT)","Active","1","0.10000","$0.10","1653","19 Weeks","CRGCQ 0805 470R 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F270R","TE Connectivity Passive Product","A129742CT-ND","R 270","","Cut Tape (CT)","Active","1","0.10000","$0.10","29150","19 Weeks","CRGCQ 0805 270R 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F120R","TE Connectivity Passive Product","A129738CT-ND","R 120","","Cut Tape (CT)","Active","10","0.04800","$0.48","43551","19 Weeks","CRGCQ 0805 120R 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F2K2","TE Connectivity Passive Product","A129753CT-ND","R 2K2","","Cut Tape (CT)","Active","10","0.04800","$0.48","25431","19 Weeks","CRGCQ 0805 2K2 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F220R","TE Connectivity Passive Product","A129741CT-ND","R 220","","Cut Tape (CT)","Active","11","0.04800","$0.52","37010","19 Weeks","CRGCQ 0805 220R 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F4K7","TE Connectivity Passive Product","A129757CT-ND","R 4K7","","Cut Tape (CT)","Active","14","0.04800","$0.67","0","19 Weeks","CRGCQ 0805 4K7 1%","RoHS Compliant","Lead free","Not Available"
"FC-135 32.7680KA-A5","EPSON","SER4103CT-ND","Cristal 32768 KHz","","Cut Tape (CT)","Active","1","0.41000","$0.41","0","28 Weeks","CRYSTAL 32.7680KHZ 12.5PF SMD","ROHS3 Compliant","Contains lead","Not Available"
"KSZ8081RNAIA-TR","Microchip Technology","576-4174-1-ND","u Ethernet","","Cut Tape (CT)","Active","1","1.32000","$1.32","0","52 Weeks","IC TRANSCEIVER FULL 1/1 24QFN","ROHS3 Compliant","Lead free","REACH Unaffected"
"MIC2005A-2YM5-TR","Microchip Technology","576-3464-1-ND","u USB","","Cut Tape (CT)","Active","1","0.29000","$0.29","2903","7 Weeks","IC PWR SWITCH P-CHAN 1:1 SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"NUP2105LT1G","ON Semiconductor","NUP2105LT1GOSCT-ND","Diodos para RS485","","Cut Tape (CT)","Active","5","0.44000","$2.20","119072","46 Weeks","TVS DIODE 24V 44V SOT23-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"NX5032GA-8MHZ-EXS00A-CG07039","NDK America, Inc.","644-1318-1-ND","Cristal 8 MHz","","Cut Tape (CT)","Active","1","0.69000","$0.69","0","18 Weeks","CRYSTAL 8.0000MHZ 18PF SMD","RoHS Compliant","Lead free","Not Available"
"RJMG1BD3B8K1ANR","Amphenol ICC (Commercial Products)","RJMG1BD3B8K1ANR-ND","Conector RJ45","","Tray","Active","1","4.16000","$4.16","1133","20 Weeks","CONN JACK 1PORT 100 BASE-T PCB","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF0805FT6K49","Stackpole Electronics Inc","RMCF0805FT6K49CT-ND","R 6K49","","Cut Tape (CT)","Active","1","0.10000","$0.10","4645","21 Weeks","RES 6.49K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"STM32F042F6P6TR","STMicroelectronics","497-19656-1-ND","u Debug/Serial","","Cut Tape (CT)","Active","1","2.92000","$2.92","0","52 Weeks","IC MCU 32BIT 32KB FLASH 20TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"TL3342F260QG","E-Switch","EG5470CT-ND","Pulsador","","Cut Tape (CT)","Active","4","0.59000","$2.36","15","12 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"USB-B-S-RA-WT-SPCC","Adam Tech","2057-USB-B-S-RA-WT-SPCC-ND","Conector USB","","Tray","Active","2","0.45000","$0.90","25","9 Weeks","USB TYPE B, RIGHT ANGLE, WHITE C","ROHS3 Compliant","Lead free","REACH Unaffected"
"USBLC6-2SC6","STMicroelectronics","497-5235-1-ND","Grupo de diodos para USB","","Cut Tape (CT)","Active","3","0.50000","$1.50","95500","29 Weeks","TVS DIODE 5.25V 17V SOT23-6","ROHS3 Compliant","Lead free","REACH Unaffected"
"5-534206-2","TE Connectivity AMP Connectors","A32933-ND","Socket Tensión","","Tube","Active","3","1.50000","$4.50","3722","23 Weeks","CONN RCPT 4POS 0.1 GOLD PCB","RoHS Compliant","Lead free","Not Available"
"5-534998-7","TE Connectivity AMP Connectors","A32957-ND","Conector 2x7","","Tube","Active","1","3.61000","$3.61","1166","23 Weeks","CONN RCPT 14POS 0.1 GOLD PCB","RoHS Compliant","Lead free","Not Available"
"87606-310LF","Amphenol ICC (FCI)","609-3555-ND","Conector 2x10","","Tube","Active","1","2.56000","$2.56","1378","6 Weeks","CONN RCPT 20POS 0.1 GOLD PCB","RoHS Compliant","Lead free","REACH Unaffected"
"87606-303LF","Amphenol ICC (FCI)","609-6001-ND","Conector Serial","","Tube","Active","1","1.07000","$1.07","0","9 Weeks","CONN RCPT 6POS 0.1 GOLD PCB","RoHS Compliant","Lead free","REACH Unaffected"
"5-534206-2","TE Connectivity AMP Connectors","A32933-ND","Conector JTAG uP","","Tube","Active","1","1.50000","$4.50","3722","23 Weeks","CONN RCPT 4POS 0.1 GOLD PCB","RoHS Compliant","Lead free","Not Available"
"215299-6","TE Connectivity AMP Connectors","A121761-ND","Conector JTAG MVB","","Tray","Active","1","1.23000","$1.23","3426","34 Weeks","CONN RCPT 6POS 0.1 GOLD PCB","RoHS Compliant","Lead free","Not Available"
"BD04","C&K","CKN3003-ND","Switch MVB","","Tube","Active","1","1.48000","$1.48","1186","10 Weeks","SWITCH SLIDE DIP SPST 100MA 5V","ROHS3 Compliant","Lead free","REACH Unaffected"
"M20-9990246","Harwin Inc.","952-2262-ND","Doble Pin Macho Jumper","","Bulk","Active","2","0.11000","$0.22","51394","12 Weeks","CONN HEADER VERT 2POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"QPC02SXGN-RC","Sullins Connector Solutions","S9337-ND","Jumper","","Bulk","Active","2","0.10000","$0.20","962260","5 Weeks","CONN JUMPER SHORTING .100"" GOLD","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0805J10R","TE Connectivity Passive Product","A130122CT-ND","R 10","","Cut Tape (CT)","Active","10","0.03700","$0.37","34790","19 Weeks","CRGCQ 0805 10R 5%","RoHS Compliant","Lead free","Not Available"
"JL-100-25-T","Samtec Inc.","SAM9019-ND","Shunt para mediciones","","Bulk","Active","10","0.09500","$0.95","5877","8 Weeks","SHUNT JUMPER","ROHS3 Compliant","Lead free","REACH Unaffected"
"LD09S33E4GX00LF","Amphenol ICC (FCI)","609-5193-ND","Conector DB9 Hembra","","Tray","Active","1","0.96000","$0.96","3041","10 Weeks","CONN D-SUB RCPT 9POS R/A SLDR","RoHS Compliant","Lead free","Not Available"
"LD09P33E4GV00LF","Amphenol ICC (FCI)","609-5186-ND","Conector DB9 Macho","","Tray","Active","1","1.17000","$1.17","1128","10 Weeks","CONN D-SUB PLUG 9POS R/A SLDR","RoHS Compliant","Lead free","Not Available"